IgG1-FITC_mean,IgG1-FITC_std,IgG1-PE_mean,IgG1-PE_std,CD45-ECD-1_mean,CD45-ECD-1_std,IgG1-PC5_mean,IgG1-PC5_std,IgG1-PC7_mean,IgG1-PC7_std,Kappa-FITC_mean,Kappa-FITC_std,Lambda-PE_mean,Lambda-PE_std,CD45-ECD-2_mean,CD45-ECD-2_std,CD19-PC5_mean,CD19-PC5_std,CD20-PC7_mean,CD20-PC7_std,CD7-FITC_mean,CD7-FITC_std,CD4-PE_mean,CD4-PE_std,CD45-ECD-3_mean,CD45-ECD-3_std,CD8-PC5_mean,CD8-PC5_std,CD2-PC7_mean,CD2-PC7_std,CD15-FITC_mean,CD15-FITC_std,CD13-PE_mean,CD13-PE_std,CD45-ECD-4_mean,CD45-ECD-4_std,CD16-PC5_mean,CD16-PC5_std,CD56-PC7_mean,CD56-PC7_std,CD14-FITC_mean,CD14-FITC_std,CD11c-PE_mean,CD11c-PE_std,CD45-ECD-5_mean,CD45-ECD-5_std,CD64-PC5_mean,CD64-PC5_std,CD33-PC7_mean,CD33-PC7_std,HLA-DR-FITC_mean,HLA-DR-FITC_std,CD117-PE_mean,CD117-PE_std,CD45-ECD-6_mean,CD45-ECD-6_std,CD34-PC5_mean,CD34-PC5_std,CD38-PC7_mean,CD38-PC7_std,CD5-FITC_mean,CD5-FITC_std,CD19-PE_mean,CD19-PE_std,CD45-ECD-7_mean,CD45-ECD-7_std,CD3-PC5_mean,CD3-PC5_std,CD10-PC7_mean,CD10-PC7_std,FL1-Log_mean,FL1-Log_std,FL2-Log_mean,FL2-Log_std,7AAD_mean,7AAD_std,FL4-Log_mean,FL4-Log_std,FL5-Log_mean,FL5-Log_std,label,fcs_file,split
4.2055693,0.7447672,4.0272083,0.89318645,5.165892,0.24148227,2.8468351,1.7173034,2.5476148,1.5587552,4.862392,0.48945192,4.770448,0.5800206,5.1518164,0.30027992,2.7854633,1.7751708,3.0850272,1.4116234,4.624847,0.5519439,4.250079,0.76801914,5.1772923,0.23151185,2.991582,1.7270292,2.590592,1.5349338,4.9219713,0.74938905,5.064385,0.76823604,5.149136,0.29329184,3.1868696,1.8716832,2.3764396,1.5682752,4.4468174,0.7549882,4.6543155,0.77236366,5.152343,0.2580182,4.3602033,1.2478862,5.0391417,0.71106994,4.679046,0.54701626,4.4906893,0.598678,5.153583,0.24734454,3.0292008,1.6454326,5.021259,0.4512293,4.360561,0.42741814,4.080859,0.84984773,5.174148,0.24334978,3.1190283,1.6775744,2.8336082,1.578308,4.286812,0.49977943,4.1905317,0.58230615,4.0610504,0.5359179,3.3922286,1.2126536,2.6859052,1.3882322,1,0172.FCS,train
3.5294394,1.7611599,3.0812218,1.7742321,5.245674,0.45672676,2.40116,1.9530402,1.8240193,1.7032309,4.233345,1.2599168,4.0248165,1.5849495,5.232633,0.53474027,2.2487495,1.9839002,2.281509,1.8540425,4.5921774,1.01398,4.053865,1.3284141,5.2503796,0.4555967,2.9244878,2.064864,3.18254,1.8555771,3.8003132,1.781759,3.608144,1.7848271,5.2593665,0.49617752,2.4904964,2.1475756,1.7226391,1.7823784,3.7295942,1.7623181,3.601895,1.8219963,5.2568483,0.46724576,3.146387,2.064871,2.9226632,1.8497821,3.8691447,1.5657037,3.67623,1.9630213,5.250438,0.4636071,3.5284348,2.0286713,4.3584085,1.2914387,4.6428456,0.9071141,2.950005,1.8984225,5.2574434,0.45057896,3.8606045,1.7709957,1.4721297,1.662563,4.2349386,0.75300646,4.014102,0.6793667,3.6956983,0.93066245,2.955864,1.5343453,1.8904698,1.6150149,1,0285.FCS,train
3.2231233,1.566584,2.7119896,1.8766334,5.1599536,0.7596495,1.7490927,1.8492655,2.534286,1.6857396,4.21683,1.1880128,3.970127,1.5578474,5.1321926,0.8928571,1.5228788,1.8488735,2.8085253,1.663165,4.1612115,1.3545632,3.3365283,1.8621243,5.1691117,0.7205703,2.3828394,2.1803281,3.315026,1.957901,2.9628286,1.9229038,3.9322026,1.8178196,5.11808,0.8957391,2.1721601,2.3278446,2.8186853,1.9709169,3.2186415,1.6629977,3.5617151,2.0111918,5.163251,0.77009785,2.1360087,2.0950832,3.6265817,1.7686533,3.8450198,1.7872056,3.617815,1.8131542,5.131797,0.8348951,2.6500201,2.3134413,3.706604,1.5802839,3.957389,1.482657,2.6434438,1.9372722,5.127161,0.79156625,2.9468677,2.1332333,2.266552,1.858793,3.6227443,1.0996164,3.6965404,1.0212725,3.904351,0.8412253,2.2893653,1.5635105,1.9942764,1.5613365,1,0060.FCS,train
4.3822646,0.6762111,3.858559,1.2020751,5.31021,0.31419146,3.198882,1.7318937,1.6952422,1.637843,4.92871,0.49182954,5.056525,0.5894805,5.310493,0.31206626,3.0594888,1.8194292,3.370095,1.577514,4.890482,0.44904524,4.435873,0.7610172,5.2953725,0.3100984,3.2772648,1.7152169,1.785989,1.6892198,4.9075203,0.93222785,5.2764177,0.54593503,5.3010516,0.34462827,3.4714563,2.0177517,1.1979963,1.5845637,4.726416,0.8191984,4.7900147,0.7176277,5.3065944,0.31603682,4.437659,1.640573,4.804129,1.0796921,5.0551353,0.5861932,4.6356735,0.86838406,5.2970405,0.3349556,4.0015445,1.6052637,5.083714,0.524325,4.4613447,0.40650102,3.9881554,1.0796615,5.31039,0.3021006,3.2653883,1.7456052,1.8759699,1.7811782,4.419683,0.481077,4.1804795,0.71601856,4.0559654,0.5975736,3.6495852,1.0881358,1.9655793,1.6342006,1,0105.FCS,train
4.2178907,0.73515135,3.6933992,1.2303555,5.01233,0.47568327,2.7923436,1.7930377,2.4395869,1.6036378,4.5607295,0.65382206,4.3746114,1.0798385,5.0287848,0.56609905,3.650266,1.5374644,2.6990974,1.5962077,4.597618,0.56974137,3.8765712,1.0949699,5.031995,0.44521347,2.9059434,1.8610476,2.657705,1.5966793,4.2877173,0.90322834,4.8714437,1.0497085,5.0142727,0.60697806,2.5811505,1.9918996,2.2907536,1.6476698,4.270428,0.84481406,4.073879,1.1537219,4.976931,0.5455252,2.9506347,1.8581519,3.8342175,1.3372879,5.17719,0.6771702,4.649132,1.3711327,5.011848,0.50691736,4.574993,1.3449726,4.993603,0.8603333,4.4026914,0.5344258,4.2435846,1.1670749,5.0338697,0.46181315,3.205247,1.7702895,2.130609,1.6205983,4.2255526,0.6239898,3.8807561,0.86887914,3.8916605,0.7851537,3.3223312,1.4116336,2.4422061,1.5434175,1,0205.FCS,train
3.9738593,0.9869151,3.4337242,1.3605456,5.01399,0.25587174,2.6176722,1.7523868,2.0140765,1.6096612,4.3125157,0.5701094,3.9365547,1.2489184,4.9961123,0.26553783,2.499102,1.7848107,2.3345776,1.6187735,4.4023156,0.64916945,3.704933,1.250564,5.029778,0.25321326,2.7070415,1.7945504,2.4296288,1.745844,4.0689354,1.0079674,3.7069402,1.4137522,5.0214744,0.27005625,2.3596082,1.7936234,1.9623075,1.583259,3.97918,0.9716359,3.9579527,1.3775928,5.0234647,0.2520096,2.7432036,1.720634,4.2442517,1.4207581,5.1612163,0.77687633,4.391901,1.372974,5.0007153,0.29181543,4.587524,1.4289445,4.306765,1.1486585,4.339163,0.5789516,3.5340807,1.3148568,5.0253716,0.24219114,3.2272122,1.6935271,1.8299676,1.563483,4.1217093,0.47667676,3.7882922,0.76850194,3.879867,0.5827799,2.9431305,1.306159,1.9206353,1.5034255,1,0009.FCS,train
3.7921033,0.80676126,3.9900017,0.7023742,5.2324915,0.14362633,2.1762855,1.703315,2.1430697,1.6347154,4.227549,0.47677946,4.473902,0.46391755,5.21971,0.17529258,2.09935,1.7603343,2.516165,1.6412548,3.9880133,0.7332624,4.0266,0.63897717,5.219203,0.14443628,2.0323384,1.7128745,2.9824715,1.6164352,3.783503,0.88527256,5.3527136,0.29315835,5.199062,0.26509017,2.2284224,1.8000481,2.263769,1.6897585,3.6965947,0.87625635,4.434775,0.5505116,5.2245903,0.15482965,2.2697458,1.6986654,4.8486114,0.59099096,5.229039,0.37066746,4.336109,0.7584039,5.205208,0.157891,5.04582,0.5512553,5.07834,0.3863946,3.8050828,0.8998917,4.2208743,0.5270684,5.2159038,0.1442374,2.376135,1.7039838,4.049932,1.4663444,3.7941997,0.5932472,3.9411306,0.5063604,3.566483,0.9372406,2.2668743,1.4625561,2.2857325,1.4902203,1,0151.FCS,train
4.1486454,0.5639241,4.2855535,0.3633049,5.298367,0.1579399,2.5600727,1.6628882,2.215296,1.6284943,4.543745,0.44549537,4.6459293,0.37919733,5.288737,0.16181876,2.371925,1.7331885,2.7144852,1.567115,4.408648,0.35060614,4.5744376,0.24269451,5.307091,0.15067379,2.3345592,1.7160051,2.489488,1.5499653,3.690436,1.3442975,4.978126,0.22141577,5.2987657,0.16869861,2.9800427,1.5937916,5.181328,1.2027175,4.2767873,0.5751616,4.69903,0.31335467,5.3548117,0.13841802,3.283417,1.5821328,5.1713247,0.5025098,4.2355676,0.58450663,4.7200575,0.32629666,5.3937254,0.1338445,2.2768521,1.7841433,5.087563,0.4392398,4.2375665,0.48354122,4.3523,0.38098028,5.445883,0.14080471,2.2808824,1.8537884,2.0892625,1.6971301,4.289552,0.29840037,4.241,0.31895068,3.9650388,0.6217902,2.987807,1.2224929,2.5793858,1.427808,1,0262.FCS,train
2.3929296,1.7006507,3.14971,1.441726,5.152069,0.6447502,1.5632055,1.8453772,0.8201781,1.3405558,3.7267706,1.368787,4.404613,0.87517184,5.145633,0.7432534,1.5096287,1.9091591,1.6724207,1.8399932,4.114303,1.4650362,3.6588905,1.8613569,5.1501036,0.6638592,2.8830843,2.3188627,3.043488,2.2104192,2.7850835,1.9639728,4.4379263,1.2008839,5.0096645,1.1272316,1.7653925,2.1275425,1.5640662,2.0032504,2.4029152,1.8538179,4.2730427,1.241551,5.1526895,0.65151095,2.003526,2.1104941,2.4026535,2.0310376,4.241423,1.6873556,3.5782404,1.3957094,5.0568485,0.93900496,3.1229272,2.341771,3.990904,1.8486694,3.9911306,1.5290465,2.9091387,1.6959969,5.1604576,0.61185884,3.2946541,2.219812,0.8039065,1.3604456,3.052067,1.2952088,2.9004924,1.4070706,3.8248494,0.7992648,2.35754,1.9194982,1.192567,1.7039438,1,0261.FCS,train
4.316334,0.81956005,4.0734615,0.80333424,5.372128,0.184424,1.7028756,1.7556922,2.1420925,1.6117344,5.0458865,0.49344012,5.185075,0.44171423,5.358075,0.20401794,1.3825843,1.7414013,3.077607,1.3927947,4.8205795,0.45235115,4.7858653,0.67117774,5.3632126,0.21103261,1.4639467,1.7586827,2.1210148,1.672681,4.5416865,0.94681275,4.8741407,0.62334204,5.3668385,0.2309756,1.7458606,2.0309772,4.1753697,1.8791649,4.504357,0.9441974,5.219546,0.7123896,5.375885,0.19462134,4.6116576,1.3345335,4.7863216,1.0137875,5.3135357,0.75180846,3.8513362,1.4023902,5.3784876,0.19635496,1.4344198,1.8029841,5.0602717,0.6718775,4.4917502,0.43503246,4.014991,0.94593,5.3815055,0.18715619,1.8626789,1.8887749,1.9263207,1.6341866,4.4450054,0.30800375,4.1551256,0.482548,4.1118503,0.40059602,2.447573,1.4234236,2.1305869,1.4607594,1,0269.FCS,train
